what,when,with,where,why,end
Data science career track,2019, DataCamp, Online,Covering the full range of data science skills from data cleaning through to predictive modelling and inference.,2017
Short (1-2 days) courses,2017–2020, University of Bordeaux, Bordeaux,"Rmarkdown, LaTeX, Scientific writing to be published, Git&Github, Python, Docker, Bayesian statistics, Web scraping",2019
